34962299	doc1
35137775	doc2
35239812	doc3
35144678	doc4
35262572	doc5
35139577	doc6
35164897	doc7
35107557	doc8
35019064	doc9
35043922	doc10
35171094	doc11
35100630	doc12
35107560	doc13
34909981	doc14
35107549	doc15
35276747	doc16
35043898	doc17
35112345	doc18
35139570	doc19
34901447	doc20
35019085	doc21
35180048	doc22
21838907	doc23
35081245	doc24
35303936	doc25
35088815	doc26
35313981	doc27
34933388	doc28
35107500	doc29
35107488	doc30
34840415	doc31
35225763	doc32
35043864	doc33
35043916	doc34
19144122	doc35
35139566	doc36
35213909	doc37
35081246	doc38
35137787	doc39
35211933	doc40
35210658	doc41
35111959	doc42
35107496	doc43
35107556	doc44
35107491	doc45
35092958	doc46
35043923	doc47
35019080	doc48
35137783	doc49
35137818	doc50
