35442347	doc1
35946671	doc2
37042904	doc3
34989667	doc4
35730813	doc5
35920538	doc6
35830016	doc7
36629582	doc8
36888857	doc9
36449844	doc10
37075411	doc11
37042884	doc12
36629559	doc13
36629560	doc14
36134777	doc15
36753203	doc16
36102422	doc17
36629620	doc18
34669763	doc19
34730745	doc20
36259891	doc21
35019077	doc22
36477187	doc23
37042890	doc24
36449958	doc25
36946855	doc26
36651405	doc27
32997025	doc28
36651414	doc29
37042901	doc30
36888872	doc31
36074481	doc32
36753072	doc33
35894308	doc34
35838489	doc35
37042895	doc36
36888825	doc37
36651402	doc38
36753223	doc39
34669765	doc40
36651381	doc41
36629604	doc42
36995850	doc43
36351064	doc44
35584414	doc45
36259820	doc46
35730889	doc47
36856237	doc48
36629561	doc49
33566936	doc50
